vendor_id,brand_id,purchase_cost,quantity,purchase_date
1,101,10000,120,2024-01-05
1,102,12000,140,2024-02-07
1,103,15000,170,2024-03-10
1,104,18000,200,2024-04-12
2,101,9000,110,2024-01-04
2,102,11000,135,2024-02-06
2,103,14000,160,2024-03-09
2,104,17000,190,2024-04-11
3,101,9500,115,2024-01-03
3,102,11500,145,2024-02-05
3,103,14500,175,2024-03-08
3,104,17500,205,2024-04-10
4,101,8000,100,2024-01-02
4,102,10000,125,2024-02-04
4,103,13000,155,2024-03-07
4,104,16000,185,2024-04-09
5,101,11000,130,2024-01-05
5,102,13000,155,2024-02-07
5,103,16000,185,2024-03-10
5,104,19000,215,2024-04-12
6,101,8500,105,2024-01-04
6,102,10500,130,2024-02-06
6,103,13500,160,2024-03-09
6,104,16500,190,2024-04-11
7,101,9000,110,2024-01-03
7,102,11500,140,2024-02-05
7,103,14500,170,2024-03-08
7,104,17500,200,2024-04-10
8,101,10000,120,2024-01-02
8,102,12000,150,2024-02-04
8,103,15000,180,2024-03-07
8,104,18000,210,2024-04-09
9,101,7500,95,2024-01-01
9,102,9500,120,2024-02-03
9,103,12500,150,2024-03-06
9,104,15500,180,2024-04-08
10,101,10000,125,2024-01-06
10,102,12000,150,2024-02-08
10,103,15000,180,2024-03-11
10,104,18000,210,2024-04-13
