vendor_id,vendor_name,brand_id,sales_dollars,quantity,sale_date
1,Sharma Traders,101,15000,120,2024-01-10
1,Sharma Traders,102,18000,140,2024-02-12
1,Sharma Traders,103,22000,170,2024-03-15
1,Sharma Traders,104,26000,200,2024-04-18
2,Patel Enterprises,101,13000,110,2024-01-09
2,Patel Enterprises,102,16000,135,2024-02-11
2,Patel Enterprises,103,20000,160,2024-03-14
2,Patel Enterprises,104,24000,190,2024-04-17
3,Singh Distributors,101,14000,115,2024-01-08
3,Singh Distributors,102,17000,145,2024-02-10
3,Singh Distributors,103,21000,175,2024-03-13
3,Singh Distributors,104,25000,205,2024-04-16
4,Verma Wholesale,101,12000,100,2024-01-07
4,Verma Wholesale,102,15000,125,2024-02-09
4,Verma Wholesale,103,19000,155,2024-03-12
4,Verma Wholesale,104,23000,185,2024-04-15
5,Gupta Mart,101,16000,130,2024-01-06
5,Gupta Mart,102,19000,155,2024-02-08
5,Gupta Mart,103,23000,185,2024-03-11
5,Gupta Mart,104,27000,215,2024-04-14
6,Mehta Supplies,101,12500,105,2024-01-05
6,Mehta Supplies,102,15500,130,2024-02-07
6,Mehta Supplies,103,19500,160,2024-03-10
6,Mehta Supplies,104,23500,190,2024-04-13
7,Reddy & Co,101,13500,110,2024-01-04
7,Reddy & Co,102,16500,140,2024-02-06
7,Reddy & Co,103,20500,170,2024-03-09
7,Reddy & Co,104,24500,200,2024-04-12
8,Iyer Distributors,101,14500,120,2024-01-03
8,Iyer Distributors,102,17500,150,2024-02-05
8,Iyer Distributors,103,21500,180,2024-03-08
8,Iyer Distributors,104,25500,210,2024-04-11
9,Nair Traders,101,11500,95,2024-01-02
9,Nair Traders,102,14500,120,2024-02-04
9,Nair Traders,103,18500,150,2024-03-07
9,Nair Traders,104,22500,180,2024-04-10
10,Chowdhury Enterprises,101,15000,125,2024-01-11
10,Chowdhury Enterprises,102,18000,150,2024-02-13
10,Chowdhury Enterprises,103,22000,180,2024-03-16
10,Chowdhury Enterprises,104,26000,210,2024-04-19
11,Mishra Wholesale,101,11000,90,2024-01-08
11,Mishra Wholesale,102,14000,115,2024-02-10
11,Mishra Wholesale,103,17500,145,2024-03-13
11,Mishra Wholesale,104,21000,170,2024-04-16
12,Kapoor Supplies,101,17000,135,2024-01-09
12,Kapoor Supplies,102,20000,160,2024-02-11
12,Kapoor Supplies,103,24000,190,2024-03-14
12,Kapoor Supplies,104,28000,220,2024-04-17
13,Yadav Distributors,101,12500,105,2024-01-07
13,Yadav Distributors,102,15500,130,2024-02-09
13,Yadav Distributors,103,19500,160,2024-03-12
13,Yadav Distributors,104,23500,190,2024-04-15
14,Saxena Traders,101,13500,115,2024-01-06
14,Saxena Traders,102,16500,140,2024-02-08
14,Saxena Traders,103,20500,170,2024-03-11
14,Saxena Traders,104,24500,200,2024-04-14
15,Banerjee & Sons,101,14500,120,2024-01-05
15,Banerjee & Sons,102,17500,145,2024-02-07
15,Banerjee & Sons,103,21500,175,2024-03-10
15,Banerjee & Sons,104,25500,205,2024-04-13
16,Joshi Enterprises,101,15500,130,2024-01-04
16,Joshi Enterprises,102,18500,155,2024-02-06
16,Joshi Enterprises,103,22500,185,2024-03-09
16,Joshi Enterprises,104,26500,215,2024-04-12
17,Pillai Distributors,101,12000,100,2024-01-03
17,Pillai Distributors,102,15000,125,2024-02-05
17,Pillai Distributors,103,19000,155,2024-03-08
17,Pillai Distributors,104,23000,185,2024-04-11
18,Khan Traders,101,16000,130,2024-01-02
18,Khan Traders,102,19000,155,2024-02-04
18,Khan Traders,103,23000,185,2024-03-07
18,Khan Traders,104,27000,215,2024-04-10
19,Dubey Mart,101,14000,115,2024-01-11
19,Dubey Mart,102,17000,145,2024-02-13
19,Dubey Mart,103,21000,175,2024-03-16
19,Dubey Mart,104,25000,205,2024-04-19
20,Bhatia Wholesale,101,15000,125,2024-01-10
20,Bhatia Wholesale,102,18000,150,2024-02-12
20,Bhatia Wholesale,103,22000,180,2024-03-15
20,Bhatia Wholesale,104,26000,210,2024-04-18
